ship_city,ship_state,ship_postal_code,ship_country
KAMAREDDY,TELANGANA,503111.0,IN
SRINAGAR,JAMMU & KASHMIR,190015.0,IN
BENGALURU,KARNATAKA,560042.0,IN
MUDDEBIHAL,KARNATAKA,586212.0,IN
SANTHAMAGULURU MANDAL,ANDHRA PRADESH,523302.0,IN
HYDERABAD,TELANGANA,500058.0,IN
NEW DELHI,DELHI,110045.0,IN
Hyderabad,TELANGANA,500032.0,IN
BENGALURU,KARNATAKA,562125.0,IN
KOLKATA 700034,WEST BENGAL,700034.0,IN
kolkata,WEST BENGAL,700045.0,IN
HYDERABAD,TELANGANA,500001.0,IN
BARUIPUR,WEST BENGAL,700145.0,IN
KENDRAPARA,ODISHA,754211.0,IN
VIJAYAWADA,ANDHRA PRADESH,521225.0,IN
MUMBAI,MAHARASHTRA,400072.0,IN
NASHIK,MAHARASHTRA,422003.0,IN
THANE,MAHARASHTRA,401107.0,IN
HOSHIARPUR,PUNJAB,146001.0,IN
BENGALURU,KARNATAKA,560010.0,IN
Bengaluru,KARNATAKA,560017.0,IN
BARSHI,MAHARASHTRA,413401.0,IN
HYDERABAD,TELANGANA,500089.0,IN
BENGALURU,KARNATAKA,560068.0,IN
CHENNAI,TAMIL NADU,600036.0,IN
CHANDI MANDIR,HARYANA,134107.0,IN
ujjain,MADHYA PRADESH,456010.0,IN
Haldwani,UTTARAKHAND,263139.0,IN
CHENNAI,TAMIL NADU,600125.0,IN
MUMBAI,MAHARASHTRA,400049.0,IN
Uttarkashi,UTTARAKHAND,249193.0,IN
Old Goa,Goa,403107.0,IN
MAHESHWAR,MADHYA PRADESH,451224.0,IN
HARDOI,UTTAR PRADESH,241001.0,IN
HYDERABAD,TELANGANA,500073.0,IN
SHILLONG,MEGHALAYA,793008.0,IN
DHAMNOD DHAR DISTRICT,MADHYA PRADESH,454552.0,IN
BENGALURU,KARNATAKA,560070.0,IN
CHAKDAHA,WEST BENGAL,741222.0,IN
CHENNAI,TAMIL NADU,600082.0,IN
KOLKATA,WEST BENGAL,700044.0,IN
CHIKKAMAGALURU,KARNATAKA,577101.0,IN
BHUBANESWAR,ODISHA,751003.0,IN
GURUGRAM,HARYANA,122018.0,IN
KOLKATA,WEST BENGAL,700050.0,IN
ALLAHABAD,UTTAR PRADESH,211004.0,IN
LUCKNOW,UTTAR PRADESH,226022.0,IN
KOLKATA,WEST BENGAL,700089.0,IN
MALDA,WEST BENGAL,732101.0,IN
DIMAPUR,NAGALAND,797112.0,IN
Nellore,ANDHRA PRADESH,524314.0,IN
CUNCOLIM,GOA,403703.0,IN
Hyderabad,TELANGANA,500068.0,IN
PUNE,MAHARASHTRA,411028.0,IN
trivandrum,KERALA,695003.0,IN
KANPUR,UTTAR PRADESH,208027.0,IN
CHINNALAPATTI,TAMIL NADU,624301.0,IN
BENGALURU,KARNATAKA,560072.0,IN
BAGESHWAR,UTTARAKHAND,263642.0,IN
NEW DELHI,DELHI,110059.0,IN
BARRACKPORE,WEST BENGAL,700122.0,IN
Dombivali  east,MAHARASHTRA,421201.0,IN
NEW DELHI,DELHI,110017.0,IN
PATNA,BIHAR,801105.0,IN
Hyderabad,TELANGANA,500070.0,IN
New delhi,DELHI,110085.0,IN
NEW TOWN,WEST BENGAL,700135.0,IN
